BOS,2
EOS,3
the,4
in,5
is,6
to,7
of,8
a,9
and,10
this,11
it,12
he,13
i,14
was,15
are,16
that,17
not,18
for,19
be,20
has,21
you,22
will,23
have,24
on,25
we,26
what,27
but,28
there,29
no,30
police,31
with,32
they,33
at,34
were,35
his,36
by,37
do,38
also,39
been,40
said,41
can,42
india,43
an,44
rs,45
one,46
so,47
all,48
as,49
people,50
from,51
had,52
its,53
she,54
dont,55
film,56
my,57
about,58
government,59
him,60
your,61
them,62
how,63
then,64
should,65
her,66
who,67
more,68
two,69
thats,70
time,71
their,72
our,73
did,74
know,75
tamil,76
me,77
many,78
why,79
first,80
case,81
or,82
minister,83
up,84
new,85
out,86
am,87
us,88
some,89
into,90
however,91
very,92
when,93
indian,94
here,95
over,96
other,97
state,98
water,99
life,100
these,101
after,102
day,103
bjp,104
would,105
like,106
incident,107
being,108
good,109
going,110
only,111
world,112
just,113
arrested,114
too,115
modi,116
later,117
say,118
any,119
need,120
if,121
take,122
come,123
such,124
matter,125
died,126
than,127
crore,128
work,129
against,130
both,131
congress,132
lakh,133
god,134
court,135
prime,136
family,137
does,138
go,139
nadu,140
investigating,141
killed,142
get,143
love,144
injured,145
most,146
see,147
want,148
jehovah,149
hospital,150
school,151
well,152
president,153
party,154
films,155
taken,156
im,157
chief,158
1,159
home,160
made,161
think,162
children,163
country,164
even,165
number,166
took,167
investigation,168
between,169
several,170
much,171
nothing,172
done,173
mother,174
didnt,175
further,176
problem,177
son,178
which,179
soon,180
asked,181
where,182
registered,183
students,184
those,185
help,186
women,187
movie,188
yet,189
right,190
another,191
present,192
still,193
each,194
theres,195
money,196
during,197
make,198
last,199
must,200
next,201
place,202
bible,203
given,204
happened,205
way,206
back,207
fire,208
could,209
body,210
important,211
second,212
got,213
parents,214
chennai,215
same,216
big,217
death,218
won,219
few,220
cant,221
part,222
again,223
jesus,224
give,225
years,226
situation,227
lot,228
district,229
never,230
now,231
health,232
delhi,233
actor,234
pm,235
name,236
election,237
others,238
spot,239
father,240
wife,241
accident,242
high,243
may,244
says,245
under,246
great,247
5,248
far,249
before,250
gandhi,251
question,252
found,253
per,254
area,255
woman,256
days,257
man,258
social,259
down,260
pakistan,261
2,262
due,263
whats,264
action,265
best,266
issue,267
regard,268
complaint,269
wrong,270
media,271
married,272
look,273
music,274
job,275
anything,276
add,277
long,278
let,279
different,280
three,281
away,282
true,283
every,284
house,285
persons,286
heart,287
available,288
indias,289
telugu,290
while,291
because,292
china,293
doing,294
started,295
change,296
things,297
together,298
answer,299
thing,300
farmers,301
following,302
understand,303
video,304
face,305
political,306
four,307
since,308
without,309
seen,310
narendra,311
held,312
talk,313
10,314
currently,315
problems,316
came,317
reason,318
among,319
off,320
friends,321
information,322
truth,323
participated,324
match,325
lead,326
already,327
continue,328
former,329
politics,330
elections,331
happen,332
today,333
men,334
business,335
believe,336
child,337
director,338
details,339
isnt,340
news,341
car,342
live,343
public,344
directed,345
s,346
lucky,347
feel,348
food,349
hes,350
become,351
acted,352
known,353
nobody,354
price,355
yes,356
jehovahs,357
50,358
questions,359
play,360
central,361
power,362
around,363
mumbai,364
released,365
hindi,366
something,367
test,368
meeting,369
year,370
suicide,371
told,372
special,373
coronavirus,374
happy,375
road,376
gods,377
mind,378
100,379
total,380
through,381
sent,382
4,383
saying,384
doesnt,385
show,386
prices,387
husband,388
left,389
immediately,390
girls,391
everyone,392
needs,393
city,394
girl,395
temple,396
person,397
war,398
treatment,399
dead,400
rushed,401
tell,402
story,403
decision,404
own,405
role,406
result,407
went,408
read,409
end,410
security,411
event,412
report,413
dmk,414
find,415
spread,416
shooting,417
little,418
law,419
use,420
called,421
lives,422
hostel,423
states,424
heavy,425
village,426
attack,427
eyes,428
rahul,429
earth,430
national,431
used,432
drink,433
became,434
bank,435
supreme,436
book,437
daughter,438
3,439
injuries,440
experience,441
third,442
win,443
kashmir,444
cause,445
human,446
possible,447
received,448
times,449
support,450
project,451
kerala,452
really,453
rain,454
crores,455
led,456
christian,457
sri,458
set,459
air,460
development,461
team,462
department,463
future,464
rains,465
eat,466
thereafter,467
lost,468
though,469
fans,470
assembly,471
paul,472
everything,473
across,474
added,475
making,476
working,477
keep,478
list,479
education,480
land,481
else,482
student,483
point,484
increase,485
began,486
oil,487
difficult,488
singh,489
cent,490
various,491
officials,492
powder,493
wont,494
along,495
lets,496
open,497
informed,498
words,499
6,500
lord,501
past,502
malayalam,503
members,504
always,505
underway,506
hand,507
parties,508
cbi,509
private,510
earlier,511
commission,512
order,513
history,514
age,515
large,516
office,517
article,518
recently,519
page,520
ive,521
training,522
close,523
shall,524
happening,525
once,526
please,527
study,528
statement,529
ask,530
language,531
college,532
small,533
thank,534
side,535
12,536
attended,537
bad,538
changed,539
filed,540
driver,541
viral,542
15,543
failed,544
ministry,545
try,546
kumar,547
colour,548
night,549
karnataka,550
fear,551
official,552
act,553
movies,554
refused,555
months,556
strong,557
pain,558
five,559
cinema,560
watch,561
gone,562
pay,563
likely,564
thought,565
countries,566
peace,567
occasion,568
brother,569
investigations,570
blood,571
force,572
reasons,573
vijay,574
word,575
couldnt,576
south,577
month,578
series,579
speak,580
example,581
40,582
sabha,583
prevent,584
anyone,585
committee,586
australia,587
taking,588
ministers,589
town,590
better,591
schools,592
marriage,593
rajinikanth,594
living,595
comes,596
major,597
facebook,598
enough,599
full,600
service,601
ways,602
leaders,603
ill,604
connection,605
coming,606
board,607
20,608
actress,609
including,610
25,611
ready,612
respect,613
call,614
based,615
week,616
real,617
faith,618
knows,619
wanted,620
teams,621
ever,622
worked,623
sure,624
light,625
success,626
lanka,627
final,628
station,629
works,630
below,631
culture,632
growth,633
disease,634
medical,635
start,636
alliance,637
scheme,638
stop,639
might,640
devotees,641
function,642
rise,643
daily,644
hard,645
income,646
evening,647
whether,648
global,649
run,650
carrying,651
reported,652
met,653
areas,654
brothers,655
fine,656
witnesses,657
alone,658
continues,659
religion,660
stopped,661
award,662
played,663
doctor,664
huge,665
congregation,666
pictures,667
hit,668
accepted,669
young,670
gave,671
caused,672
progress,673
write,674
increasing,675
8,676
couple,677
visit,678
cricket,679
parts,680
general,681
khan,682
plan,683
happens,684
top,685
front,686
complete,687
control,688
boys,689
care,690
fact,691
sons,692
issued,693
west,694
500,695
post,696
often,697
share,698
quite,699
amount,700
reached,701
hands,702
hasnt,703
18,704
officer,705
trump,706
avoid,707
loss,708
photo,709
stars,710
kingdom,711
sir,712
reading,713
born,714
lok,715
return,716
mean,717
million,718
response,719
agreed,720
200,721
christ,722
file,723
announced,724
difference,725
lodged,726
simple,727
old,728
christians,729
account,730
leave,731
himself,732
candidates,733
interest,734
company,735
hence,736
rule,737
seized,738
opposition,739
shared,740
wrote,741
season,742
youth,743
lived,744
trust,745
university,746
bodies,747
doctors,748
expected,749
photos,750
joined,751
rate,752
sugar,753
spirit,754
kill,755
looking,756
release,757
subsequently,758
petrol,759
record,760
sea,761
talks,762
mr,763
needed,764
garlic,765
looked,766
ipl,767
international,768
cancer,769
therefore,770
remember,771
spiritual,772
relationship,773
online,774
card,775
raised,776
meanwhile,777
o,778
solution,779
view,780
thus,781
truck,782
able,783
seems,784
english,785
languages,786
brought,787
created,788
involved,789
army,790
heard,791
game,792
near,793
b,794
camera,795
speaking,796
toss,797
demanded,798
