2,BOS
3,EOS
4,the
5,in
6,is
7,to
8,of
9,a
10,and
11,this
12,it
13,he
14,i
15,was
16,are
17,that
18,not
19,for
20,be
21,has
22,you
23,will
24,have
25,on
26,we
27,what
28,but
29,there
30,no
31,police
32,with
33,they
34,at
35,were
36,his
37,by
38,do
39,also
40,been
41,said
42,can
43,india
44,an
45,rs
46,one
47,so
48,all
49,as
50,people
51,from
52,had
53,its
54,she
55,dont
56,film
57,my
58,about
59,government
60,him
61,your
62,them
63,how
64,then
65,should
66,her
67,who
68,more
69,two
70,thats
71,time
72,their
73,our
74,did
75,know
76,tamil
77,me
78,many
79,why
80,first
81,case
82,or
83,minister
84,up
85,new
86,out
87,am
88,us
89,some
90,into
91,however
92,very
93,when
94,indian
95,here
96,over
97,other
98,state
99,water
100,life
101,these
102,after
103,day
104,bjp
105,would
106,like
107,incident
108,being
109,good
110,going
111,only
112,world
113,just
114,arrested
115,too
116,modi
117,later
118,say
119,any
120,need
121,if
122,take
123,come
124,such
125,matter
126,died
127,than
128,crore
129,work
130,against
131,both
132,congress
133,lakh
134,god
135,court
136,prime
137,family
138,does
139,go
140,nadu
141,investigating
142,killed
143,get
144,love
145,injured
146,most
147,see
148,want
149,jehovah
150,hospital
151,school
152,well
153,president
154,party
155,films
156,taken
157,im
158,chief
159,1
160,home
161,made
162,think
163,children
164,country
165,even
166,number
167,took
168,investigation
169,between
170,several
171,much
172,nothing
173,done
174,mother
175,didnt
176,further
177,problem
178,son
179,which
180,soon
181,asked
182,where
183,registered
184,students
185,those
186,help
187,women
188,movie
189,yet
190,right
191,another
192,present
193,still
194,each
195,theres
196,money
197,during
198,make
199,last
200,must
201,next
202,place
203,bible
204,given
205,happened
206,way
207,back
208,fire
209,could
210,body
211,important
212,second
213,got
214,parents
215,chennai
216,same
217,big
218,death
219,won
220,few
221,cant
222,part
223,again
224,jesus
225,give
226,years
227,situation
228,lot
229,district
230,never
231,now
232,health
233,delhi
234,actor
235,pm
236,name
237,election
238,others
239,spot
240,father
241,wife
242,accident
243,high
244,may
245,says
246,under
247,great
248,5
249,far
250,before
251,gandhi
252,question
253,found
254,per
255,area
256,woman
257,days
258,man
259,social
260,down
261,pakistan
262,2
263,due
264,whats
265,action
266,best
267,issue
268,regard
269,complaint
270,wrong
271,media
272,married
273,look
274,music
275,job
276,anything
277,add
278,long
279,let
280,different
281,three
282,away
283,true
284,every
285,house
286,persons
287,heart
288,available
289,indias
290,telugu
291,while
292,because
293,china
294,doing
295,started
296,change
297,things
298,together
299,answer
300,thing
301,farmers
302,following
303,understand
304,video
305,face
306,political
307,four
308,since
309,without
310,seen
311,narendra
312,held
313,talk
314,10
315,currently
316,problems
317,came
318,reason
319,among
320,off
321,friends
322,information
323,truth
324,participated
325,match
326,lead
327,already
328,continue
329,former
330,politics
331,elections
332,happen
333,today
334,men
335,business
336,believe
337,child
338,director
339,details
